# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=6
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 5a_halfnormal_uni - draws_6.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.111871
# Diagonal elements of inverse mass matrix:
# 1.27739, 1.76479, 2.44072, 2.37808, 2.61692, 2.52177, 2.53385, 2.34603, 2.61343, 2.40036, 2.37254, 2.27608, 2.04535, 2.70008, 2.47597
-25.052,0.889952,0.111871,5,31,0,30.3336,0.0311569,0.0275771,0.00759701,0.0262233,0.0525357,0.00442041,0.0350388,0.0442554,0.00197341,0.0146913,0.025824,0.0729896,0.00545019,0.0343045,0.0365652,0.0248596
-21.1086,0.833977,0.111871,4,15,0,30.9076,0.0300633,0.0296109,0.0279685,0.0281327,0.0228285,0.0210073,0.047153,0.0154212,0.034044,0.0287367,0.0395993,0.00202975,0.00161018,0.0418196,0.0313766,0.023987
-31.0793,0.769185,0.111871,5,47,0,36.6984,0.0513648,0.0290681,0.00198754,0.0289699,0.0710249,0.00723468,0.0190709,0.00352904,0.0145772,0.0345723,0.0203778,0.0045759,0.00422062,0.0178091,0.00541063,0.0409832
-18.8781,0.984469,0.111871,4,31,0,35.0535,0.0149961,0.00808294,0.00813075,0.0163181,0.00737699,0.00963294,0.0187833,0.00757943,0.0220752,0.0136164,0.0101307,0.0107148,0.0219404,0.0119982,0.0122954,0.0119652
-20.9999,0.942218,0.111871,5,31,0,24.812,0.0305861,0.0407038,0.0162482,0.0249509,0.00623183,0.0450662,0.010496,0.0484364,0.01847,0.0154156,0.0379347,0.030917,0.0114456,0.0142349,0.0204963,0.0244042
-21.8107,0.951368,0.111871,4,23,0,26.901,0.0256659,0.00926801,0.0372454,0.0252887,0.0090919,0.0105317,0.033194,0.00448032,0.0248552,0.0355991,0.00144654,0.0192566,0.0291805,0.0340441,0.0316511,0.0204784
