# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=5
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/Haemoglobin (g per dL) - 6a_skewnormal_uni - draws_5.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.127123
# Diagonal elements of inverse mass matrix:
# 0.00368342, 1.10744, 0.253985, 0.412462, 0.344183, 0.509751, 0.453686, 0.50495, 0.379719, 0.558642, 0.348769, 0.352917, 0.346116, 0.305476, 0.507581, 0.463273, 38.7015
-3.95142,0.730517,0.127123,4,15,0,13.2522,-0.119559,0.299682,0.332033,0.50164,0.204321,1.6506,0.442208,1.10993,0.0767135,1.18552,0.162815,0.0589625,1.12621,0.144941,1.85256,0.424679,20.8994,-0.0200543,0.0307736,-0.0583273,0.375095,0.0129631,0.213067,-0.096569,0.235719,-0.070766,-0.101889,0.217946,-0.0761226,0.435619,0.00770982,0.11928
-3.76271,0.894793,0.127123,5,31,0,10.1312,-0.0173629,0.100877,0.103362,1.3985,0.657287,0.446565,0.880207,0.737702,0.923375,1.35893,0.230443,0.790411,1.1571,0.556668,-0.0240554,0.836269,11.7858,-0.00693604,0.123713,0.0489422,0.0276852,0.0714297,0.0570542,0.0757843,0.119722,0.00588345,0.0623713,0.0993614,0.038792,-0.0197895,0.0669973,0.0628371
-4.97218,0.996009,0.127123,4,31,0,10.6329,-0.026942,0.0660552,0.333618,1.73063,0.793819,0.392841,0.546735,1.8954,0.519933,0.93035,1.49714,0.725492,0.136879,0.463935,1.5435,0.139072,5.11337,-0.00490479,0.087375,0.0254939,-0.000992786,0.00917273,0.0982591,0.00740228,0.0345125,0.071952,0.0209805,-0.0179004,0.00370334,0.0750141,-0.0177556,0.0247826
-7.83625,0.986016,0.127123,4,15,0,12.8159,-0.0284941,0.0805119,-0.0604978,1.88207,0.333673,0.326251,0.337215,2.27011,0.349854,-0.192499,1.06698,0.119942,0.0895296,0.285965,1.19208,0.369008,4.41318,-0.0333649,0.123035,-0.00162948,-0.002227,-0.00134425,0.154277,-0.000326721,-0.0439925,0.0574104,-0.0188374,-0.0212859,-0.00547055,0.0674823,0.00121546,0.0341569
-5.14151,0.994319,0.127123,4,15,0,12.9102,-0.0156874,0.0397687,0.0432136,2.08951,0.336746,0.395552,0.781301,1.91793,0.507783,0.637675,0.992494,0.649051,0.185229,0.556355,0.500497,0.560092,4.84608,-0.0139688,0.0674099,-0.00229545,4.32165e-05,0.0153839,0.0605863,0.0045065,0.00967212,0.0237828,0.0101245,-0.00832108,0.00643813,0.00421672,0.00658676,0.0153887
-9.92275,0.980715,0.127123,5,31,0,15.6245,0.00285217,0.0462343,0.730245,2.70026,1.46972,1.02325,0.0265063,1.79088,0.110371,0.395585,0.446105,0.79128,1.1184,0.101064,0.422648,1.93551,9.44948,0.0366145,0.127697,0.0708038,0.0501613,0.00407767,0.0856522,0.00795508,0.0211417,0.0234775,0.0394365,0.0545605,0.00752481,0.022393,0.0923389,0.039537
-10.2045,0.976567,0.127123,4,31,0,17.1496,-0.0668144,0.0786314,0.268946,2.33102,1.23626,1.73906,0.666175,1.10305,0.661697,0.255127,0.107347,-0.131613,1.25184,0.374577,0.0501583,1.77426,4.9489,-0.0456668,0.116477,0.0303942,0.0699302,-0.0144321,0.0199197,-0.0147842,-0.0467534,-0.0583735,-0.0771633,0.0316198,-0.0373609,-0.0628704,0.0726983,-0.00531845
-9.72903,0.968024,0.127123,5,31,0,20.9029,-0.0526982,0.120932,1.06054,1.21025,0.312727,1.38402,0.374167,1.15333,1.13192,3.14754,0.776708,1.60174,0.0112405,0.498655,1.6325,0.699906,4.90681,0.0755559,0.0936606,-0.0148794,0.114675,-0.0074493,0.0867764,0.0841869,0.327941,0.0412309,0.141004,-0.0513389,0.00760533,0.144724,0.0319431,0.0418484
-6.86282,0.993505,0.127123,4,31,0,13.4038,-0.0893767,0.210506,0.534801,0.813661,0.889577,2.01904,0.260827,0.146778,0.869834,2.31002,0.380837,1.1713,0.901152,0.153853,1.43091,0.869769,8.38355,0.0232023,0.0819043,0.097885,0.335643,-0.0344709,-0.058479,0.0937289,0.396897,-0.00920802,0.15719,0.100322,-0.0569895,0.21184,0.0937152,0.077401
-11.4873,0.87547,0.127123,4,31,0,19.3028,-0.0867155,0.232642,0.403591,0.508966,0.292403,2.08004,0.414362,1.60727,1.12711,1.53851,0.300521,1.06353,0.962986,-0.146787,-0.554762,0.565577,4.04631,0.00717677,0.0316916,-0.0186901,0.39719,0.00968276,0.287204,0.175497,0.271206,-0.0168016,0.160707,0.137316,-0.120864,-0.215777,0.0448617,0.0934848
-12.0329,0.957473,0.127123,5,31,0,21.4362,0.0377,0.0372876,0.248656,2.43198,1.21415,-0.241616,0.481842,0.306811,0.0635512,0.896584,0.680142,-0.00342474,0.959016,1.47159,2.22675,0.634022,3.72567,0.0469718,0.128383,0.0829729,0.0286907,0.0556668,0.0491403,0.0400697,0.0711315,0.0630609,0.0375723,0.0734595,0.0925721,0.12073,0.0613412,0.0664342
-13.9919,0.990627,0.127123,5,31,0,23.6437,-0.0138741,0.0207711,0.340003,0.236638,0.25439,1.97942,1.98675,2.23239,1.34877,0.726692,1.30715,1.04295,1.04916,0.099482,-0.37557,0.628423,1.1279,-0.00681184,-0.00895885,-0.00859012,0.0272408,0.027393,0.0324953,0.0141413,0.00122013,0.013277,0.00778915,0.00791826,-0.0118077,-0.0216751,-0.000821029,-0.00147323
