# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=10
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 5a_halfnormal_uni - draws_10.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.116494
# Diagonal elements of inverse mass matrix:
# 0.957982, 2.26481, 2.03558, 2.22306, 1.97034, 2.09719, 2.26175, 2.41317, 2.22351, 2.13065, 2.09964, 1.80043, 2.00385, 2.2107, 2.23052, 2.04278, 2.19819, 2.06979, 2.11362, 1.90661, 1.9988, 2.12954, 2.27277, 2.17701
-34.0441,0.989999,0.116494,4,15,0,39.7953,0.113684,0.186739,0.0718491,0.188767,0.0405083,0.0313604,0.117491,0.107029,0.210812,0.161446,0.0445172,0.0292658,0.0677174,0.0880347,0.0787772,0.0628824,0.0753944,0.0396199,0.0496219,0.243815,0.0866956,0.0731666,0.0469484,0.0137588,0.090707
-36.4213,0.925175,0.116494,4,15,0,46.2353,0.105347,0.116311,0.19128,0.0465391,0.0806299,0.19536,0.109525,0.0574569,0.0462666,0.0942102,0.0931326,0.0227592,0.0875029,0.0331946,0.206279,0.0328771,0.0792458,0.0762571,0.022619,0.104782,0.0809146,0.178338,0.115524,0.00951085,0.0840547
-38.1891,0.768507,0.116494,4,15,0,47.6225,0.150047,0.160063,0.112626,0.0291147,0.0672107,0.097997,0.0971782,0.0198753,0.0427008,0.0651636,0.124771,0.00814729,0.145123,0.0757964,0.0953562,0.0573917,0.195267,0.0795163,0.044694,0.167469,0.139501,0.0513108,0.13402,0.0111324,0.11972
-40.5979,0.954677,0.116494,4,31,0,52.712,0.209766,0.0455559,0.0253692,0.246686,0.195581,0.0719424,0.130103,0.0298033,0.314684,0.223615,0.12945,0.0175455,0.0777321,0.102603,0.194508,0.247802,0.0435911,0.0199666,0.0803853,0.119404,0.0427811,0.0373004,0.161858,0.0437185,0.167369
-37.7948,0.979564,0.116494,4,15,0,54.8705,0.116913,0.0173192,0.124617,0.204503,0.145122,0.0596058,0.245459,0.0617248,0.131222,0.0745411,0.0923543,0.019645,0.0163601,0.0905423,0.195226,0.0463839,0.0489016,0.0209951,0.066465,0.251323,0.168076,0.127573,0.0656702,0.135668,0.0932833
-35.2824,0.948756,0.116494,4,15,0,47.1721,0.112996,0.0251541,0.0781564,0.109692,0.0935794,0.0814318,0.0215221,0.229926,0.092291,0.104566,0.124751,0.0283634,0.065254,0.172572,0.0857481,0.245548,0.117425,0.0560971,0.0985475,0.0909158,0.0294803,0.0092779,0.06933,0.0710337,0.0901576
