# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/height (cm) - 6a_skewnormal_uni - draws_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.138727
# Diagonal elements of inverse mass matrix:
# 0.00530015, 1.22679, 0.382681, 0.332612, 0.397114, 0.320378, 0.325562, 0.338861, 0.390368, 0.354349, 0.372826, 0.384131, 0.31871, 0.286285, 0.348965, 0.40364, 0.372734, 0.356471, 0.423726, 0.323336, 0.467626, 0.2631, 0.28905, 0.499521, 0.396401, 30.723
-11.6524,0.848963,0.138727,4,31,0,21.1359,0.0402668,0.0486348,1.40124,1.80481,1.00466,0.217389,0.459103,0.88907,1.02757,1.1584,0.400805,0.770851,0.252033,0.839368,0.929239,1.5443,1.56019,0.195568,0.17805,0.650835,0.215525,0.237217,-0.00756218,1.04462,1.62645,12.8517,0.108416,0.128044,0.0891283,0.0508395,0.0625953,0.0835066,0.0902426,0.0966053,0.05976,0.0777571,0.0525245,0.0810894,0.0854603,0.115374,0.116147,0.0497783,0.0489263,0.0719201,0.0507489,0.0518039,0.0398991,0.0910719,0.119369,0.0789549
-13.9187,0.993202,0.138727,5,31,0,23.5793,-0.109926,0.157213,0.824886,-0.381132,0.150704,0.46385,0.334933,0.475378,0.505913,0.507288,0.99476,1.75475,1.29744,0.208587,0.485503,0.483955,0.0282635,2.19981,1.24489,0.10694,2.1541,0.468385,1.1929,0.371216,-0.187265,4.02814,0.0197566,-0.169845,-0.0862336,-0.037003,-0.0572704,-0.0351906,-0.03039,-0.030174,0.0464631,0.165944,0.0940479,-0.0771337,-0.0335988,-0.0338422,-0.105483,0.235913,0.0857864,-0.0931139,0.228727,-0.03629,0.0776134,-0.0515662,-0.139367,0.0118163
-13.2042,0.960876,0.138727,4,31,0,23.5662,-0.0930725,0.158355,0.632282,-0.436815,0.434074,0.512053,0.0882712,0.261268,0.145882,0.738969,1.02639,1.48574,0.605433,0.948126,0.674753,0.446085,-0.0622257,1.82817,1.73758,0.020004,2.10376,0.597702,1.33507,1.50517,0.437823,4.62196,0.00705259,-0.162244,-0.0243347,-0.0119863,-0.0790943,-0.0516994,-0.0699713,0.023947,0.0694615,0.142202,0.00280087,0.057068,0.0137781,-0.0224326,-0.102926,0.196428,0.182083,-0.0899047,0.240068,0.00157665,0.118343,0.145279,-0.0237411,0.0304193
-14.9944,0.871752,0.138727,5,31,0,27.6762,0.00683842,0.057283,-0.00749872,1.31905,1.57197,-0.159104,0.582162,-0.0158518,0.739554,1.41954,-0.232284,1.87389,0.911973,0.797737,-0.16162,0.2311,0.780603,0.0755538,0.730977,1.41171,2.02194,0.418339,0.287207,0.470037,1.02861,2.06103,0.00640887,0.0823976,0.0968856,-0.00227554,0.0401864,0.00593039,0.0492023,0.0881541,-0.00646749,0.114181,0.059079,0.0525352,-0.00241968,0.0200766,0.0515538,0.0111664,0.048711,0.0877055,0.122661,0.0308022,0.0232905,0.0337636,0.0657605,0.0479591
-18.2675,0.941905,0.138727,5,31,0,30.0797,-0.0110393,0.0729816,1.27712,0.0509965,0.0578744,1.19416,1.75702,0.826189,0.7514,2.55369,2.45027,0.901598,0.274687,0.228501,1.72409,1.04972,1.60722,1.37033,0.541712,-0.0304671,0.647701,0.600753,0.993331,1.051,0.230845,8.30517,0.0821672,-0.00731747,-0.00681551,0.0761125,0.117191,0.0492573,0.0437991,0.175333,0.167785,0.0547608,0.00900783,0.00563707,0.114788,0.0655709,0.106258,0.0889698,0.0284958,-0.0132628,0.036231,0.0328046,0.0614556,0.0656643,0.00580815,0.0467741
-18.8387,0.94719,0.138727,5,31,0,34.7342,0.0481841,0.0051949,0.344415,0.918408,1.02971,-0.0108207,0.0704462,0.146846,1.05544,-0.441963,-0.425025,0.252589,1.20868,0.751455,0.0806079,0.0766003,0.945801,1.06904,0.386102,1.28254,1.47292,0.962239,1.12924,2.3775,0.813618,2.22976,0.0499733,0.0529551,0.0535333,0.0481278,0.04855,0.0489469,0.053667,0.0458881,0.0459761,0.0494962,0.054463,0.0520878,0.0486028,0.048582,0.0530974,0.0537376,0.0501898,0.0548467,0.0558357,0.0531828,0.0540503,0.0605349,0.0524107,0.0519661
