# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=12
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 5a_halfnormal_uni - draws_12.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.285753
# Diagonal elements of inverse mass matrix:
# 0.158339, 1.3869, 1.23185, 1.0209, 0.817091, 0.59902, 0.0337314, 0.761084, 1.35671
-16.7816,0.978291,0.285753,3,15,0,19.0629,0.175147,0.0470933,0.130752,0.0974031,0.060245,0.0806506,0.4395,0.0617735,0.147692,0.139747
-16.7915,0.892493,0.285753,4,15,0,25.478,0.114014,0.0607731,0.103604,0.0836713,0.235285,0.0955484,0.372904,0.0627444,0.137093,0.0909698
-18.521,0.790735,0.285753,3,7,0,22.0086,0.218825,0.135433,0.0508725,0.0672231,0.13148,0.0965185,0.326619,0.149961,0.0218678,0.174598
-18.1007,0.983448,0.285753,4,15,0,20.1547,0.152694,0.0200782,0.228685,0.23984,0.347047,0.10353,0.341222,0.0718627,0.0115805,0.121832
-23.87,0.713461,0.285753,4,15,0,25.9079,0.376415,0.00371834,0.00374727,0.0809039,0.491749,0.116027,0.445908,0.136582,0.00263345,0.300336
-24.4987,0.942698,0.285753,3,7,0,29.5994,0.271323,0.00247512,0.00116383,0.411713,0.513628,0.153154,0.48647,0.107248,0.0200305,0.216485
-21.4285,0.924949,0.285753,3,7,0,29.4095,0.296747,0.0130089,0.00365052,0.0483691,0.17168,0.0958748,0.419703,0.0981172,0.0302148,0.23677
-19.0427,0.98398,0.285753,3,7,0,22.6478,0.153282,0.0202827,0.00294332,0.0709484,0.361055,0.0862075,0.401225,0.0897967,0.202945,0.122301
-18.7375,0.99363,0.285753,3,15,0,22.434,0.170519,0.030383,0.00196439,0.0544322,0.409237,0.10347,0.389886,0.104214,0.150053,0.136054
-18.2004,0.863607,0.285753,3,7,0,25.3129,0.209742,0.0978567,0.00311347,0.343342,0.438223,0.118326,0.394149,0.0760309,0.163401,0.16735
-21.3655,0.737849,0.285753,4,15,0,25.4345,0.251941,0.111463,0.00196242,0.163747,0.135509,0.0218634,0.372707,0.149624,0.140868,0.20102
-19.247,0.932289,0.285753,4,15,0,27.2214,0.395059,0.0182605,0.227789,0.238895,0.560027,0.219245,0.368202,0.00791027,0.111799,0.315212
-22.0205,0.972933,0.285753,3,7,0,25.1842,0.54408,0.012352,0.230524,0.397384,0.434609,0.0854945,0.293386,0.00531106,0.19653,0.434114
-18.8581,0.979945,0.285753,3,15,0,23.7985,0.414402,0.0646951,0.256548,0.141719,0.885616,0.0541468,0.387523,0.00500417,0.463796,0.330645
-19.7868,0.921795,0.285753,3,15,0,21.5921,0.406464,0.140526,0.084992,0.0980001,0.37221,0.0900444,0.401192,0.00284504,0.313588,0.324312
-17.3174,0.950978,0.285753,3,15,0,25.2641,0.147224,0.0175288,0.0372322,0.140093,0.1114,0.156687,0.39075,0.0495154,0.0784284,0.117468
-20.5393,0.854031,0.285753,4,15,0,23.199,0.207755,0.0249296,0.0172028,0.213876,0.0939117,0.0318264,0.40633,0.0602277,0.0237658,0.165765
-18.8661,0.969304,0.285753,4,15,0,23.9405,0.134816,0.0803546,0.259147,0.0911149,0.114413,0.0817008,0.302787,0.137312,0.0117482,0.107568
-22.1832,0.777797,0.285753,3,15,0,27.8804,0.314129,0.000536159,0.0413472,0.151507,0.831546,0.0607362,0.361157,0.0314811,0.0758065,0.250639
-22.1832,0.0861861,0.285753,2,3,0,26.5547,0.314129,0.000536159,0.0413472,0.151507,0.831546,0.0607362,0.361157,0.0314811,0.0758065,0.250639
-21.2199,0.704278,0.285753,3,7,0,27.2942,0.367186,0.000410984,0.0227431,0.187815,0.176428,0.128798,0.464548,0.0802278,0.410186,0.292972
-22.2912,0.964109,0.285753,3,7,0,25.498,0.547547,0.000225221,0.0217682,0.0858778,0.416573,0.143171,0.463215,0.0998169,0.603275,0.436879
-24.8084,0.994068,0.285753,3,7,0,26.2323,0.468664,0.000104997,0.00909353,0.0343919,0.730418,0.130781,0.49909,0.105714,0.804485,0.37394
-23.305,0.985968,0.285753,3,7,0,25.9453,0.468304,0.000138403,0.0185756,0.047606,0.839986,0.145699,0.497501,0.120506,0.418423,0.373653
-22.7009,0.680058,0.285753,3,15,0,33.1385,0.683107,0.000859396,0.0331992,0.567077,0.534623,0.0989588,0.45044,0.0890415,0.844848,0.545041
-18.1952,0.998691,0.285753,4,15,0,25.9047,0.127243,0.00228404,0.0782723,0.0458464,0.172934,0.098583,0.301329,0.0734151,0.0787596,0.101526
-16.9229,0.986242,0.285753,4,15,0,20.2341,0.259112,0.221312,0.170119,0.142319,0.27133,0.0821239,0.298747,0.126781,0.277721,0.206742
-19.0171,0.866603,0.285753,4,15,0,20.626,0.241324,0.000497182,0.0679319,0.167024,0.33536,0.0538634,0.424012,0.110429,0.0745756,0.192549
-20.0561,0.998472,0.285753,3,7,0,21.871,0.195094,0.000427272,0.0497827,0.23137,0.345137,0.119686,0.443152,0.0807192,0.448186,0.155663
-18.2276,0.930822,0.285753,3,7,0,22.776,0.212463,0.000763627,0.073559,0.134373,0.532971,0.155153,0.435284,0.129509,0.256285,0.169521
-17.5572,0.875897,0.285753,3,7,0,20.5806,0.396724,0.00127648,0.220129,0.232572,0.309325,0.110868,0.458024,0.129536,0.255281,0.31654
