# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=11
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/mid-upper arm circumference (cm) - 6a_skewnormal_uni - draws_11.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.059381
# Diagonal elements of inverse mass matrix:
# 0.156659, 0.21529, 0.715617, 0.580409, 0.570486, 0.876034, 0.526468, 0.64895, 0.531948, 0.853666, 95.4733
-1.87593,0.996038,0.059381,4,15,0,7.01564,-0.4957,1.05305,0.171234,0.834762,0.853968,1.22687,0.613634,0.85433,0.526865,0.0475602,1.49958,-0.315382,0.383349,0.403574,0.796264,0.150489,0.403954,0.0591166,-0.445617,0.203341
0.255265,0.810087,0.059381,5,31,0,6.11714,-0.538474,1.50654,0.0997594,0.548988,0.59035,0.93177,0.466655,0.632442,0.453409,0.650741,16.3928,-0.388183,0.288598,0.350912,0.865276,0.16456,0.414325,0.144605,0.441893,0.661342
1.41206,0.917152,0.059381,4,31,0,4.08853,-0.481778,1.48281,0.0694756,0.588794,0.473986,0.903808,0.404503,0.624908,0.364132,0.381243,14.1103,-0.378759,0.391292,0.221053,0.858397,0.118023,0.444842,0.0581599,0.0835324,0.698374
-4.79184,0.841597,0.059381,5,55,0,6.29061,-0.294877,0.928082,0.0514353,0.748725,0.592062,0.707359,0.461409,0.689751,0.45425,1.24792,29.2387,-0.247141,0.400001,0.254605,0.36161,0.133348,0.345269,0.126704,0.863295,0.445193
-1.13152,0.778123,0.059381,5,31,0,11.0172,-0.201005,0.879383,0.177245,0.440454,0.120522,1.29349,0.438795,0.674895,0.324519,0.106758,14.4835,-0.0451389,0.186322,-0.0950202,0.936464,0.184864,0.392486,0.0843714,-0.107124,0.498975
-2.19935,0.984973,0.059381,5,31,0,8.09703,-0.352791,0.731019,0.12832,0.379509,0.312239,1.09003,0.643816,1.18555,0.577615,0.999845,19.6824,-0.258986,-0.0753628,-0.124538,0.444038,0.117851,0.513871,0.0694567,0.378114,0.229727
