# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=7
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 5a_halfnormal_uni - draws_7.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.208613
# Diagonal elements of inverse mass matrix:
# 0.0381917, 0.540477, 0.0448642, 1.35584, 0.223656, 0.767044, 0.959934, 1.27236, 1.36069, 1.19477, 0.301974, 1.43947, 1.0543, 0.826095, 0.940771, 1.28825, 0.622101, 1.25967, 1.47637, 1.26412, 0.99207, 0.0988593, 0.346885, 0.959871, 0.178393, 0.828663, 0.549329, 1.15468, 1.13864
-74.6934,0.944235,0.208613,4,31,0,89.0302,0.129505,0.163399,0.401102,0.0565401,0.153299,0.116284,0.0436107,0.0135007,0.0240764,0.00610285,0.179788,0.00261752,0.0344917,0.0671673,0.020844,0.193817,0.114537,0.00278611,0.0374876,0.0733888,0.17287,0.1334,0.25331,0.106529,0.0319429,0.0377424,0.144338,0.274114,0.0988477,0.10333
-71.1233,0.866964,0.208613,4,15,0,92.1722,0.191363,0.0543883,0.500333,0.0133866,0.172842,0.167777,0.00901696,0.00379072,0.11761,0.0222122,0.212603,0.136184,0.329096,0.0714025,0.0433525,0.00443616,0.369488,0.00366222,0.186206,0.0955256,0.202999,0.347955,0.0825762,0.0271625,0.0553485,0.194855,0.173032,0.0542199,0.0360543,0.152685
-67.1546,0.970251,0.208613,4,15,0,87.1263,0.217824,0.281909,0.675398,0.00240972,0.165818,0.238094,0.26756,0.000546806,0.0334868,0.108452,0.365163,0.0995844,0.0425659,0.100631,0.0896683,0.203446,0.185397,0.0323284,0.0250161,0.0332976,0.184785,0.627436,0.390107,0.338038,0.207181,0.0358428,0.170708,0.0726829,0.00589496,0.173798
-62.1687,1,0.208613,4,15,0,76.9957,0.21324,0.192243,0.651889,0.00108566,0.179985,0.157018,0.124326,0.000302983,0.0611354,0.200738,0.244569,0.206217,0.0950149,0.0989075,0.124064,0.138613,0.150011,0.0427887,0.0286674,0.0945755,0.164579,0.460778,0.269011,0.181498,0.257831,0.0151412,0.133485,0.167436,0.00756465,0.170141
-67.9569,0.916835,0.208613,4,31,0,81.0159,0.227887,0.124122,0.503616,0.00200081,0.234146,0.286753,0.144745,0.00261426,0.274187,0.0361348,0.187005,0.0974083,0.254611,0.0746683,0.0372392,0.010771,0.124473,0.0129996,0.0796423,0.0986911,0.438887,0.769299,0.224889,0.163101,0.343303,0.018139,0.241676,0.0425316,0.00107224,0.181828
-59.461,0.955786,0.208613,4,15,0,75.9282,0.262841,0.236641,0.56819,0.00773964,0.201266,0.206884,0.194074,0.00224619,0.178957,0.0632265,0.25144,0.150654,0.0497291,0.126168,0.0343459,0.106461,0.155382,0.12751,0.109985,0.0264701,0.269751,0.556714,0.177747,0.217932,0.312703,0.0382137,0.170646,0.0744275,0.00252368,0.209717
-56.6465,0.986474,0.208613,4,15,0,68.5015,0.318062,0.159877,0.717927,0.140605,0.175515,0.182406,0.101187,0.120135,0.221289,0.103291,0.279029,0.143827,0.286656,0.077232,0.0134782,0.0943805,0.164089,0.165372,0.00322747,0.107744,0.389359,0.493513,0.136903,0.171339,0.259981,0.17426,0.131401,0.449823,0.0119611,0.253777
