# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=25849600
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=0
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output/stan/weight (kg) - 6a_skewnormal_uni - draws_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_raw.1,theta_raw.2,theta_raw.3,theta_raw.4,theta_raw.5,theta_raw.6,theta_raw.7,theta_raw.8,theta_raw.9,theta_raw.10,theta_raw.11,theta_raw.12,theta_raw.13,theta_raw.14,theta_raw.15,theta_raw.16,theta_raw.17,theta_raw.18,theta_raw.19,theta_raw.20,theta_raw.21,theta_raw.22,theta_raw.23,theta_raw.24,theta_raw.25,theta_raw.26,theta_raw.27,theta_new_raw,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta_new,mean_effect
# Adaptation terminated
# Step size = 0.17673
# Diagonal elements of inverse mass matrix:
# 0.00440844, 0.0540136, 0.0715543, 0.262572, 0.0362929, 0.049918, 0.11691, 0.0814523, 0.0548653, 0.177502, 0.0808654, 0.135993, 0.116766, 0.11376, 0.0383139, 0.0353648, 0.10872, 0.223878, 0.0875414, 0.107059, 0.0506656, 0.40806, 0.258431, 0.0876658, 0.104857, 0.0841683, 0.0822527, 0.0691389, 0.264086, 0.383022, 30.964
-10.0662,0.611794,0.17673,4,15,0,22.8562,-0.139891,0.57798,0.375733,1.84745,0.399036,0.356484,0.256251,0.216209,0.261093,0.661156,0.65743,0.484464,0.518968,0.39446,0.359632,0.371915,0.101916,1.3179,0.123596,0.464239,0.119363,1.20944,2.06595,0.508876,0.632927,0.813949,0.466089,0.460158,0.717076,0.220053,18.9629,0.0772755,0.927898,0.0907443,0.0661502,0.00821744,-0.0149259,0.0110161,0.242244,0.240091,0.14012,0.160063,0.0880992,0.0679693,0.0750687,-0.0809853,0.621829,-0.0684545,0.128431,-0.0709013,0.559143,1.05419,0.15423,0.225929,0.330556,0.1295,0.126072,0.274565,-0.0127043,0.320631
-10.5355,0.48441,0.17673,4,15,0,30.4681,-0.144506,0.624275,0.612616,1.72977,0.112375,0.165027,0.182632,0.146913,0.141038,0.590124,0.47316,0.553395,0.285245,0.037128,0.39747,0.370868,0.0412202,1.17651,0.427733,0.154346,0.129466,1.16636,1.85909,0.443218,0.668549,0.683276,0.64509,0.518406,0.866354,0.380619,16.5115,0.237934,0.935343,-0.0743533,-0.0414842,-0.0304937,-0.0527924,-0.0564598,0.223893,0.150876,0.200964,0.0335648,-0.121328,0.103624,0.0870174,-0.118774,0.589956,0.122517,-0.0481523,-0.0636839,0.583624,1.01608,0.132183,0.272852,0.282046,0.258207,0.179121,0.396336,0.0931046,0.352682
-5.36207,1,0.17673,4,15,0,21.899,-0.173542,0.601047,0.525098,1.76188,0.205488,0.818781,0.806389,0.42105,-0.0484501,0.0181483,0.549012,1.08663,0.492245,0.613398,0.269811,0.276494,0.175311,0.446517,0.403806,0.0169931,0.324761,0.956053,1.17301,0.900891,0.448084,0.556222,0.57984,0.470598,0.970922,0.183351,7.60945,0.142067,0.885428,-0.0500338,0.318584,0.311136,0.0795293,-0.202662,-0.162634,0.15644,0.479574,0.122321,0.195139,-0.0113726,-0.00735556,-0.0681715,0.094836,0.0691644,-0.163328,0.0216546,0.401091,0.531492,0.367936,0.0957775,0.160774,0.174969,0.109309,0.410028,-0.0633392,0.301936
-11.2711,0.81987,0.17673,4,15,0,24.9336,-0.203309,0.560862,0.711368,2.19144,0.452722,0.374742,0.976646,0.596214,0.174496,0.465238,0.464433,0.685437,0.259974,0.820955,0.525399,0.433926,-0.206319,1.43413,0.293156,0.0872429,0.459442,1.51207,1.83634,0.53496,0.57704,0.957411,0.721446,0.605073,2.04114,1.16785,6.77559,0.19567,1.02579,0.0506049,0.00686904,0.344454,0.131085,-0.105441,0.0576247,0.0571732,0.181126,-0.0575001,0.257133,0.0913667,0.0400629,-0.319026,0.60104,-0.0388896,-0.154378,0.0543743,0.644755,0.826626,0.0967294,0.12033,0.333666,0.201322,0.136053,0.94149,0.451696,0.239398
-5.63238,0.959063,0.17673,4,15,0,27.1885,-0.178967,0.558725,0.561109,2.15497,0.0871241,0.856896,0.377381,0.311087,0.0310702,0.218194,0.268408,1.15107,0.416578,0.526452,0.233358,0.382444,0.3632,0.408132,0.450967,0.138076,0.245664,0.242887,1.57862,0.936065,0.414265,0.77409,0.395126,0.634689,0.124204,0.947847,6.58185,0.134539,1.02507,-0.130289,0.299802,0.0318852,-0.00515496,-0.161608,-0.0570566,-0.0290008,0.464167,0.0537854,0.115175,-0.0485845,0.0347139,0.0239616,0.0490664,0.0729996,-0.101821,-0.0417089,-0.04326,0.703048,0.344036,0.0524931,0.253536,0.0417995,0.17565,-0.109571,0.350619,0.261773
-2.75887,0.945252,0.17673,4,15,0,17.8095,-0.195724,0.653864,0.541682,1.4992,0.377386,0.377886,0.834044,0.441349,0.0185713,0.414229,0.377853,0.535293,0.321401,0.31654,0.401667,0.254942,0.0965787,1.32416,0.343708,0.19797,0.371128,1.08523,1.60904,0.403719,0.451084,0.741983,0.584629,0.515914,0.665706,1.06315,15.0202,0.158462,0.78455,0.0510349,0.0513616,0.349627,0.0928578,-0.183581,0.0751253,0.0513403,0.154285,0.0144281,0.01125,0.0669115,-0.0290271,-0.132575,0.670099,0.0290137,-0.0662792,0.0469426,0.513871,0.856366,0.0682529,0.0992235,0.289431,0.186544,0.141613,0.239557,0.499428,0.324831
-8.03146,0.958359,0.17673,4,31,0,17.7607,-0.145541,0.415675,0.636121,2.62548,0.230359,0.980822,0.308821,0.320982,0.21152,0.0802044,0.553681,1.36892,0.19194,0.903176,0.389821,0.54605,0.0331908,0.498053,0.301046,0.297786,0.266504,1.573,1.91132,1.12994,0.622505,0.925072,0.460249,0.672085,0.150505,0.347538,18.2942,0.118878,0.945803,-0.049787,0.262162,-0.0171723,-0.0121171,-0.0576178,-0.112202,0.0846098,0.423486,-0.0657567,0.229886,0.0164973,0.081438,-0.131745,0.0614869,-0.020404,-0.021759,-0.0347623,0.508315,0.648947,0.324147,0.113218,0.238988,0.0457728,0.133828,-0.0829801,-0.00107866,0.185625
-11.318,0.927629,0.17673,4,15,0,23.3641,-0.155685,0.456645,0.708139,2.4381,0.280618,0.595984,1.11307,0.580845,-0.206824,0.998343,0.314091,0.781208,1.01607,0.372803,0.546924,0.175778,0.212531,1.67237,0.481384,-0.0539059,0.472522,0.740889,2.21638,0.517237,0.439288,0.974836,0.769134,0.790999,0.860333,1.00711,7.90277,0.167683,0.957663,-0.0275424,0.116468,0.352592,0.109555,-0.250131,0.300203,-0.0122572,0.20105,0.3083,0.0145536,0.094065,-0.0754172,-0.0586342,0.607995,0.0641365,-0.180301,0.0600896,0.182638,0.856413,0.0805086,0.0449134,0.289469,0.195536,0.20552,0.237182,0.304209,0.205783
-13.492,0.879176,0.17673,4,31,0,26.366,-0.127181,0.40388,0.477239,2.26575,0.347122,0.739717,0.49945,0.280899,0.447491,0.852364,0.165817,1.215,0.467482,0.462481,0.54242,0.629008,0.353595,1.20039,0.210762,1.00726,0.197523,1.02818,1.83928,1.00268,0.234618,0.703379,0.729237,0.594543,1.69636,1.00572,7.62505,0.065566,0.787909,0.0130142,0.171576,0.0745366,-0.0137317,0.0535514,0.217072,-0.0602113,0.363532,0.0616255,0.0596057,0.0918912,0.126862,0.0156285,0.357632,-0.0420586,0.279631,-0.0474056,0.28808,0.615667,0.27778,-0.032424,0.156899,0.167343,0.112943,0.557943,0.27901,0.192332
