trial,nweight,weight,nheight,height,nmuac,muac,nhemob,hemob,prevalence_exact
Alderman 2006,48†,.153999999165535,,,,,,,.7621428498200008
,,.0892100036144257,,,,,,,
Awasthi 1995/2008,50†,.9800000190734863,50†,1.190000057220459,,,,,.0766666668156783
,,.1480000019073486,,1.204159498214722,,,,,
Awasthi 2000,1045,-.0500000007450581,1045,-.4099999964237213,,,1045,0,.12
,,.0759999975562096,,.3138967454433441,,,,.04094348102808,
Awasthi 2001,124†,.1700000017881393,124†,.4000000059604645,,,,,.09
,,.0649666041135788,,.3104314506053925,,,,,
Carmona-Fonseca 2015a,603,.2011558562517166,601,-.0665813684463501,,,586,.1286839246749878,.45
,,.1361006647348404,,.1934301853179932,,,,.0912913531064987,
Carmona-Fonseca 2015b,658,.0619269013404846,657,-.0668425410985947,,,624,.0069838301278651,.45
,,.1182758584618568,,.1934932172298431,,,,.0816227570176125,
Donnen 1998,198,-.449999988079071,198,-1.190000057220459,198,-.3499999940395355,,,.1
,,.1665000021457672,,.5522913932800293,,.154047429561615,,,
Dossa 2001a,65,0,65,.5,65,0,70,.300000011920929,.58
,,.2649999856948853,,.6371161341667175,,.2150020152330399,,.2991215288639069,
Dossa 2001b,64,0,64,0,64,.1000000014901161,68,.2000000029802322,.58
,,.1385000050067902,,.316922515630722,,.1876176744699478,,.3294380307197571,
Gateff 1972,280,.3472999930381775,,,,,,,.7621428498200008
,,.1305639147758484,,,,,,,
Gupta 1982a,78,.0265999995172024,78,-.0952000021934509,,,,,.62
,,.1752080768346786,,.4441654086112976,,,,,
Gupta 1982b,81,.1295000016689301,81,-.0292000006884336,,,,,.59
,,.1477003991603851,,.4737147986888885,,,,,
Hall 2006,80†,.0542334988713264,80†,.0891977995634079,80†,.7942054271697998,,,.84
,,.0583449006080627,,.08211849629879,,.3142781853675842,,,
Joseph 2015,777,.0399999991059303,777,.0399999991059303,,,,,.11
,,.0493626818060875,,.1270657330751419,,,,,
Kirwan 2010,,,,,,,320,.1700000017881393,.46
,,,,,,,,.1207073628902435,
Kruger 1996a,74,-.3756999969482422,74,.086499996483326,,,74,-.0199999995529652,.38
,,.2477999925613403,,.2178999930620193,,,,.1540796607732773,
Kruger 1996b,104,.3932999968528748,104,.2089000046253204,,,104,.2700000107288361,.38
,,.1860000044107437,,.2075999975204468,,,,.1285457164049149,
Le Huong 2007a,,,,,,,161,-.0799999982118607,.73
,,,,,,,,.1358073353767395,
Le Huong 2007b,,,,,,,165,-.028999999165535,.73
,,,,,,,,.1289728581905365,
Liu 2017,112†,.0299999993294477,112†,.0799999982118607,,,112†,-.0430000014603138,.31
,,.1274970322847366,,.3519999980926514,,,,.1077931672334671,
Miguel 2004,50†,-.6600000262260437,,1.545809984207153,,,,,.77
,,.300000011920929,,.5351821184158325,,,,,
Ndibazza 2012,1228,.0099999997764826,1210,-.2300000041723251,,,1109,-.0700000002980232,.03
,,.0908728092908859,,.284965842962265,,,,.0954927206039429,
Ostwald 1984,87,.699999988079071,86,.300000011920929,,,70,.300000011920929,.92
,,.4487372040748596,,.2701210379600525,,,,.2773297131061554,
Rousham 1994,,-.0900000035762787,,.0799999982118607,13†,.1000000014901161,,,.71
,,-.0432512387633324,,.0626608356833458,,.0581238195300102,,,
Stephenson 1993,188,.8999999761581421,188,-.1000000014901161,188,.4000000059604645,,,.88
,,.1842000037431717,,.1628508418798447,,.0645201727747917,,,
Stoltzfus 1997a,12†,.2337037026882172,12†,.2181481420993805,,,,,.95
,,.0979910120368004,,.0857820510864258,,,,,
Stoltzfus 1997b,12†,.1103666350245476,12†,-.0003208066045772,,,,,.95
,,.1389223486185074,,.0979878902435303,,,,,
Sur 2005,682,.2899999916553497,,,,,,,.53
,,.0900000035762787,,,,,,,
Watkins 1996,226,.1299999952316284,227,.0599999986588955,207,.0799999982118607,,,.91
,,.1058999970555305,,.0982346087694168,,.0702069848775864,,,
Willett 1979,273,.1599999964237213,,,,,,,.53
,,.0847144052386284,,,,,,,
Wiria 2013,954†,.188400000333786,954†,1.348299980163574,,,,,.76
,,.39400315284729,,.5347543358802795,,,,,
Freij 1979a,,.2000000029802322,,,,-.300000011920929,,,.489130437374115
,,1.469866394996643,,,,.7134740352630615,,,
Freij 1979b,,,,,,.1000000014901161,,,.489130437374115
,,,,,,.3471311032772064,,,
Sarkar 2002,,.3799999952316284,,.1000000014901161,,,,,.7852349281311035
,,.1502631902694702,,.2611536383628845,,,,,
Stephenson 1989,,1.299999952316284,,.6000000238418579,,.5,,,.9700000286102295
,,.1342981904745102,,.1342981904745102,,.0780676081776619,,,
Tee 2013,,,,-.1000000014901161,,,,,.3057851195335388
,,,,.4040077030658722,,,,,
Yap 2014,,.300000011920929,,.2000000029802322,,,,-.4000000059604645,.9344416856765747
,,.1785941570997238,,.1275508403778076,,,,.4336800575256348,
