,R,,,,,,
,c1,c2,c3,c4,c5,c6,c7
r1,.1544873,.,.1981166,.,.0866922,.,.0688963
r2,.0435276,.,.0862143,.,.0385017,.,.0384857
r3,.0003864,.,.0215643,.,.0243448,.,.073425
r4,21,.,6,.,16,.,11
r5,.,.,.,.,.,.,.
r6,.1464236,.,.1981166,.,.0954019,.,.097473
r7,.0527127,.,.0862143,.,.0413525,.,.0571662
r8,.0054734,.,.0215643,.,.0210527,.,.0881791
r9,16,.,6,.,12,.,7
r10,.,.,.,.,.,.,.
r11,.13133,.,.1076894,.,.090841,.,.0688963
r12,.0352748,.,.0562507,.,.0397343,.,.0384857
r13,.0001968,.,.055562,.,.0222421,.,.073425
r14,19,.,5,.,14,.,11
r15,.,.,.,.,.,.,.
r16,.1494378,.,.1981166,.,.0664364,.,.0688963
r17,.0534833,.,.0862143,.,.0479715,.,.0384857
r18,.0052044,.,.0215643,.,.1660785,.,.073425
r19,18,.,6,.,14,.,11
r20,.,.,.,.,.,.,.
r21,.1677455,.,.1981166,.,.0866922,.,.0688963
r22,.0405158,.,.0862143,.,.0385017,.,.0384857
r23,.0000347,.,.0215643,.,.0243448,.,.073425
r24,20,.,6,.,16,.,11
